country,year,sex,age,suicides_no,population,rate
Denmark,2015,male,25-34 years,30,342769,8.752250058
Denmark,2015,male,35-54 years,159,783366,20.29702591
Denmark,2015,male,5-14 years,0,340483,0
Denmark,2015,male,55-74 years,126,651856,19.32942245
Denmark,2015,male,75+ years,57,178633,31.90899778
Dominica,1979,female,15-24 years,0,8800,0
Dominica,1979,female,25-34 years,0,4100,0
Dominica,1979,female,35-54 years,0,4300,0
Dominica,1979,female,5-14 years,0,10200,0
Dominica,1979,female,55-74 years,0,3300,0
Dominica,1979,female,75+ years,0,800,0
Dominica,1979,male,15-24 years,0,9300,0
Dominica,1979,male,25-34 years,0,3900,0
Dominica,1979,male,35-54 years,0,3400,0
Dominica,1979,male,5-14 years,0,10500,0
Dominica,1979,male,55-74 years,0,2400,0
Dominica,1979,male,75+ years,0,400,0
Dominica,1980,female,15-24 years,0,8800,0
Dominica,1980,female,25-34 years,0,5100,0
Dominica,1980,female,35-54 years,0,5100,0
Dominica,1980,female,5-14 years,0,9500,0
Dominica,1980,female,55-74 years,0,3100,0
Dominica,1980,female,75+ years,0,600,0
Dominica,1980,male,15-24 years,0,9000,0
Dominica,1980,male,25-34 years,0,4700,0
Dominica,1980,male,35-54 years,0,3700,0
Dominica,1980,male,5-14 years,0,9800,0
Dominica,1980,male,55-74 years,0,2200,0
Dominica,1980,male,75+ years,0,400,0
Dominica,1981,female,15-24 years,0,8800,0
Dominica,1981,female,25-34 years,0,5200,0
Dominica,1981,female,35-54 years,0,5200,0
Dominica,1981,female,5-14 years,0,9600,0
Dominica,1981,female,55-74 years,0,3300,0
