country,year,sex,age,suicides_no,population,rate,Region
Antigua and Barbuda,1998,male,15-24 years,0,5916,0,Central America
Antigua and Barbuda,1998,male,25-34 years,0,7294,0,Central America
Antigua and Barbuda,1998,male,35-54 years,0,9086,0,Central America
Antigua and Barbuda,1998,male,5-14 years,0,7706,0,Central America
Antigua and Barbuda,1998,male,55-74 years,0,3213,0,Central America
Antigua and Barbuda,1998,male,75+ years,0,954,0,Central America
Antigua and Barbuda,1999,female,15-24 years,0,6589,0,Central America
Antigua and Barbuda,1999,female,25-34 years,0,8526,0,Central America
Antigua and Barbuda,1999,female,35-54 years,0,10311,0,Central America
Antigua and Barbuda,1999,female,5-14 years,0,8314,0,Central America
Antigua and Barbuda,1999,female,55-74 years,0,3968,0,Central America
Antigua and Barbuda,1999,female,75+ years,0,1451,0,Central America
Antigua and Barbuda,1999,male,15-24 years,0,5845,0,Central America
Antigua and Barbuda,1999,male,25-34 years,0,7263,0,Central America
Antigua and Barbuda,1999,male,35-54 years,0,9537,0,Central America
Antigua and Barbuda,1999,male,5-14 years,0,7805,0,Central America
Antigua and Barbuda,1999,male,55-74 years,0,3276,0,Central America
Antigua and Barbuda,1999,male,75+ years,0,947,0,Central America
Antigua and Barbuda,2000,female,15-24 years,0,6616,0,Central America
Antigua and Barbuda,2000,female,25-34 years,0,8595,0,Central America
Antigua and Barbuda,2000,female,35-54 years,0,11040,0,Central America
Antigua and Barbuda,2000,female,5-14 years,0,8439,0,Central America
Antigua and Barbuda,2000,female,55-74 years,0,3986,0,Central America
Antigua and Barbuda,2000,female,75+ years,0,1413,0,Central America
Antigua and Barbuda,2000,male,15-24 years,0,5783,0,Central America
Antigua and Barbuda,2000,male,25-34 years,0,7177,0,Central America
Antigua and Barbuda,2000,male,35-54 years,1,10033,9.967108542,Central America
Antigua and Barbuda,2000,male,5-14 years,0,7973,0,Central America
Antigua and Barbuda,2000,male,55-74 years,1,3333,30.0030003,Central America
Antigua and Barbuda,2000,male,75+ years,0,938,0,Central America
Antigua and Barbuda,2001,female,15-24 years,0,6902,0,Central America
Antigua and Barbuda,2001,female,25-34 years,0,8425,0,Central America
Antigua and Barbuda,2001,female,35-54 years,0,11402,0,Central America
Antigua and Barbuda,2001,female,5-14 years,0,8428,0,Central America
Antigua and Barbuda,2001,female,55-74 years,0,4037,0,Central America
Antigua and Barbuda,2001,female,75+ years,0,1487,0,Central America
Antigua and Barbuda,2001,male,15-24 years,0,6084,0,Central America
Antigua and Barbuda,2001,male,25-34 years,0,7071,0,Central America
Antigua and Barbuda,2001,male,35-54 years,2,10281,19.45336057,Central America
